leaf	row	page	line	where	col	printed	read	note
32	1	5	20	сверху	лѣвый	ἀγνός	ἁγνός
32	2	5	9	снизу	лѣвый	αγνου	ἄγνου
32	3	7	19	снизу	лѣвый	съмѣреномѧдрье	съмѣреномѫдрье	ѧ → ѫ
32	4	15	19—20	снизу	лѣвый	Пѣснь пѣсн. 6, 11	Пѣснь пѣсн. 6, 12
32	5	16	13	сверху	лѣвый	ἀμόγδαλον	ἀμύγδαλον
32	6	24	29	снизу	правый	(Невстр.)	(Невостр.)
32	7	25	20	сверху	правый	называемою	называемую
32	8	26	6	снизу	правый	кон.	кан.
32	9	29	26	снизу	правый	немѧдрии	немѫдрии	ѧ → ѫ
32	10	31	4	снизу	лѣвый	φανικοῦν	φοινικοῦν
32	11	33	12	снизу	лѣвый	подошвы каблуки	подошвы и каблуки
32	12	37	14	сверху	лѣвый	μαγία	μανία
32	13	41	22	снизу	лѣвый	Прем. Солом. 20, 23	Прем. Сирах. 20, 13
32	14	42	23	снизу	лѣвый	Псал. 43, 3	Псал. 47, 3
32	15	45	14	снизу	лѣвый	χρησωτης	χρηστότης
32	16	45	3	снизу	лѣвый	чемъ	чѣмъ
32	17	45—46				со слова {благооѹвѣтїе} до {благооѹхатисѧ} одно о лишнее	an instruction, not a substitution; col правый
32	18	46	12	сверху	правый	Мим	Мин.
32	19	47	11	сверху	правый	XVI р.	XVI в.
32	20	54	14	сверху	лѣвый	{Богоѧ́вленїе}	{Богоѧвле́нїе}	the accent moves
32	21	55	9	снизу	правый	качество больного	качество бо́льшаго
32	22	58	24	снизу	лѣвый	человѣхъ	человѣкъ
32	23	60	20	сверху	лѣвый	Zexic	Lexic.
32	24	61	—	сверху	лѣвый	бдѣ	Гдѣ	the line cell is "—" in the table
32	25	61	24	снизу	лѣвый	санекр.	санскр.
32	26	61	18	снизу	лѣвый	Іо. экз. Бог.	Іо. экз. Болг.
32	27	61	8	сверху	правый	{Боукари}[?]	{Боукариꙗ}[?]	CS type, to be checked
32	28	62	15	сверху	правый	{ꙋелка}	{Бꙋелка}
32	29	64	14	сверху	лѣвый	ἔκπυστος	ἔκπτυστος
32	30	64	5	сверху	правый	{вѣлило}[?]	{Бѣлило}[?]	CS type, to be checked
32	31	64	27	снизу	правый	санскр. баласила	санскр. бала сила
32	32	67	5	сверху	правый	Zexic. palaeeslov.	Lexic. paleoslov.
32	33	71	18	сверху	лѣвый	{Великооувенъ}[?]—ясный	{Великооувенъ}[?]—ясный, знаменитый	CS type, to be checked
32	34	73	3	сверху	лѣвый	ὄροψος	ὄροφος	ψ → φ
32	35	73	13—14	сверху	лѣвый	4 Цар. 2, 25	4 Цар. 2, 3
32	36	73	6	сверху	правый	χώριον	χωρίον	the accent moves
32	37	74	1	сверху	правый	вечеръ и утр	вечеръ и утро
32	38	76	23	снизу	лѣвый	восклиновеніе	восклиновеніи
32	39	76	24	сверху	правый	Авв. 11, 3	Авв. 2, 3.
32	40	77	18—19	сверху	лѣвый	ὑποθέσις	ὑπόθεσις
32	41	77	18	снизу	лѣвый	Іор.	Іер.
32	42	78	22	сверху	правый	αὐρα	αὔρα
32	43	79	25	снизу	правый	бладычество	владычество
